OPERATOR,externalCode,name.en_us,name.defaultValue,name.es_ES,name.en_DEBUG,description.en_US,description.defaultValue,description.es_ES,description.en_Debug,effectiveStatus,effectiveStartDate,cust_dirigido_por.code,cust_toDivision.externalCode,
,10000096,,,PROY. ESTRAT. - GESTION,,,,,,ACT,,,,
,10000097,,,PROYECTO AZUL,,,,,,ACT,,,,
,10000098,,,PROYECTOS ESPECIALES,,,,,,ACT,,,,
,10000099,,,RAMPA - ATA,,,,,,ACT,,,,
,10000100,,,RAMPA - COMERCIAL,,,,,,ACT,,,,
,10000101,,,RAMPA - ENTRENAMIENTO,,,,,,ACT,,,,
,10000102,,,RAMPA - GERENCIA ADM.,,,,,,ACT,,,,
,10000103,,,RAMPA - GERENCIA PROVINCIAS,,,,,,ACT,,,,
,10000104,,,RAMPA - MANTENIMIENTO LIMA,,,,,,ACT,,,,
,10000105,,,RAMPA - MANTENIMIENTO PROVINCIA,,,,,,ACT,,,,
,10000106,,,RAMPA - PAX HANDLING,,,,,,ACT,,,,
,10000107,,,RAMPA - PLANIFICACION,,,,,,ACT,,,,
,10000108,,,RAMPA - RAMPA - FBO,,,,,,ACT,,,,
,10000109,,,RAMPA - RECURSOS HUMANOS,,,,,,ACT,,,,
,10000110,,,SAFETY - CARGA,,,,,,ACT,,,,
,10000111,,,SAFETY - RAMPA,,,,,,ACT,,,,
,10000112,,,SCHENKER,,,,,,ACT,,,,
,10000113,,,SERVICIOS IFE,,,,,,ACT,,,,
,10000114,,,SISTEMAS - RAMPA,,,,,,ACT,,,,
,10000115,,,SUBSIDIARIA BRANIFF,,,,,,ACT,,,,
,10000116,,,TALMA TRAINING SCHOOL,,,,,,ACT,,,,
,10000117,,,TERMINALES - CCI,,,,,,ACT,,,,
,10000118,,,TERMINALES - DESCONSOLIDACIONES,,,,,,ACT,,,,
,10000119,,,TERMINALES - EXPO - CAMARA FRIO,,,,,,ACT,,,,
,10000120,,,TERMINALES - EXPO - CARGA SECA,,,,,,ACT,,,,
,10000121,,,TERMINALES - GHA,,,,,,ACT,,,,
,10000122,,,TERMINALES - IMPO - ALMACENAJE,,,,,,ACT,,,,
,10000123,,,TERMINALES - IMPO - MANIPULEO,,,,,,ACT,,,,
,10000124,,,TERMINALES - IMPO - SERV. INTERMEDIO,,,,,,ACT,,,,
