OPERATOR,WORKER,JOBCOUNTRYCODE,EFECTIVESTARTDATE,
,30000803            ,PER,04/08/2017,
,30000804            ,PER,04/08/2017,
,30000805            ,PER,04/08/2017,
,30000806            ,PER,04/08/2017,
,30000807            ,PER,04/08/2017,
,30000808            ,PER,04/08/2017,
,30000809            ,PER,04/08/2017,
,30000810            ,PER,04/08/2017,
,30000811            ,PER,04/08/2017,
,30000812            ,PER,04/08/2017,
,30000813            ,PER,04/08/2017,
,30000814            ,PER,04/08/2017,
,30000815            ,PER,04/08/2017,
,30000816            ,PER,04/08/2017,
,30000817            ,PER,04/08/2017,
,30000818            ,PER,04/08/2017,
,30000819            ,PER,04/08/2017,
,30000820            ,PER,04/08/2017,
,30000821            ,PER,04/08/2017,
,30000822            ,PER,04/08/2017,
,30000823            ,PER,04/08/2017,
,30000824            ,PER,04/08/2017,
,30000825            ,PER,04/08/2017,
,30000826            ,PER,04/08/2017,
,30000827            ,PER,04/08/2017,
,30000828            ,PER,04/08/2017,
,30000829            ,PER,04/08/2017,
,30000830            ,PER,04/08/2017,
,30000831            ,PER,04/08/2017,
,30000832            ,PER,04/08/2017,
,30000833            ,PER,04/08/2017,
,30000834            ,PER,04/08/2017,
,30000835            ,PER,04/08/2017,
,30000836            ,PER,04/08/2017,
,30000837            ,PER,04/08/2017,
,30000838            ,PER,04/08/2017,
,30000839            ,PER,04/08/2017,
,30000840            ,PER,04/08/2017,
,30000841            ,PER,04/08/2017,
,30000842            ,PER,04/08/2017,
,30000843            ,PER,04/08/2017,
,30000845            ,PER,04/08/2017,
,30000846            ,PER,04/08/2017,
,30000847            ,PER,04/08/2017,
,30000848            ,PER,04/08/2017,
,30000849            ,PER,04/08/2017,
,30000850            ,PER,04/08/2017,
,30000851            ,PER,04/08/2017,
,30000852            ,PER,04/08/2017,
,30000854            ,PER,04/08/2017,
,30000855            ,PER,04/08/2017,
,30000856            ,PER,04/08/2017,
,30000857            ,PER,04/08/2017,
,30000858            ,PER,04/08/2017,
,30000859            ,PER,04/08/2017,
,30000860            ,PER,04/08/2017,
,30000861            ,PER,04/08/2017,
,30000862            ,PER,04/08/2017,
,30000863            ,PER,04/08/2017,
,30000864            ,PER,04/08/2017,
,30000865            ,PER,04/08/2017,
,30000866            ,PER,04/08/2017,
,30000867            ,PER,04/08/2017,
,30000868            ,PER,04/08/2017,
,30000869            ,PER,04/08/2017,
,30000870            ,PER,04/08/2017,
,30000871            ,PER,04/08/2017,
,30000872            ,PER,04/08/2017,
,30000873            ,PER,04/08/2017,
,30000874            ,PER,04/08/2017,
,30000875            ,PER,04/08/2017,
,30000876            ,PER,04/08/2017,
,30000877            ,PER,04/08/2017,
,30000878            ,PER,04/08/2017,
,30000879            ,PER,04/08/2017,
,30000880            ,PER,04/08/2017,
,30000881            ,PER,04/08/2017,
,30000882            ,PER,04/08/2017,
,30000883            ,PER,04/08/2017,
,30000884            ,PER,04/08/2017,
,30000885            ,PER,04/08/2017,
,30000886            ,PER,04/08/2017,
,30000887            ,PER,04/08/2017,
,30000888            ,PER,04/08/2017,
,30000889            ,PER,04/08/2017,
,30000890            ,PER,04/08/2017,
,30000891            ,PER,04/08/2017,
,30000892            ,PER,04/08/2017,
,30000893            ,PER,04/08/2017,
,30000894            ,PER,04/08/2017,
,30000895            ,PER,04/08/2017,
,30000896            ,PER,04/08/2017,
,30000897            ,PER,04/08/2017,
,30000898            ,PER,04/08/2017,
,30000899            ,PER,04/08/2017,
,30000900            ,PER,04/08/2017,
,30000901            ,PER,04/08/2017,
,30000902            ,PER,04/08/2017,
,30000903            ,PER,04/08/2017,
,30000904            ,PER,04/08/2017,
,30000905            ,PER,04/08/2017,
,30000906            ,PER,04/08/2017,
,30000907            ,PER,04/08/2017,
,30000908            ,PER,04/08/2017,
,30000909            ,PER,04/08/2017,
,30000910            ,PER,04/08/2017,
,30000912            ,PER,04/08/2017,
,30000913            ,PER,04/08/2017,
,30000914            ,PER,04/08/2017,
,30000915            ,PER,04/08/2017,
,30000916            ,PER,04/08/2017,
,30000917            ,PER,04/08/2017,
,30000918            ,PER,04/08/2017,
,30000919            ,PER,04/08/2017,
,30000920            ,PER,04/08/2017,
,30000921            ,PER,04/08/2017,
,30000922            ,PER,04/08/2017,
,30000923            ,PER,04/08/2017,
,30000924            ,PER,04/08/2017,
,30000925            ,PER,04/08/2017,
,30000926            ,PER,04/08/2017,
,30000927            ,PER,04/08/2017,
,30000928            ,PER,04/08/2017,
,30000929            ,PER,04/08/2017,
,30000930            ,PER,04/08/2017,
,30000932            ,PER,04/08/2017,
,30000933            ,PER,04/08/2017,
,30000934            ,PER,04/08/2017,
,30000935            ,PER,04/08/2017,
,30000936            ,PER,04/08/2017,
,30000937            ,PER,04/08/2017,
,30000938            ,PER,04/08/2017,
,30000939            ,PER,04/08/2017,
,30000940            ,PER,04/08/2017,
,30000941            ,PER,04/08/2017,
,30000942            ,PER,04/08/2017,
,30000943            ,PER,04/08/2017,
,30000945            ,PER,04/08/2017,
,30000946            ,PER,04/08/2017,
,30000947            ,PER,04/08/2017,
,30000949            ,PER,04/08/2017,
,30000950            ,PER,04/08/2017,
,30000951            ,PER,04/08/2017,
,30000952            ,PER,04/08/2017,
,30000953            ,PER,04/08/2017,
,30000954            ,PER,04/08/2017,
,30000955            ,PER,04/08/2017,
,30000956            ,PER,04/08/2017,
,30000957            ,PER,04/08/2017,
,30000958            ,PER,04/08/2017,
,30000959            ,PER,04/08/2017,
,30000960            ,PER,04/08/2017,
,30000961            ,PER,04/08/2017,
,30000962            ,PER,04/08/2017,
,30000963            ,PER,04/08/2017,
,30000964            ,PER,04/08/2017,
,30000965            ,PER,04/08/2017,
,30000966            ,PER,04/08/2017,
,30000967            ,PER,04/08/2017,
,30000968            ,PER,04/08/2017,
,30000969            ,PER,04/08/2017,
,30000970            ,PER,04/08/2017,
,30000972            ,PER,04/08/2017,
,30000973            ,PER,04/08/2017,
,30000974            ,PER,04/08/2017,
,30000975            ,PER,04/08/2017,
,30000976            ,PER,04/08/2017,
,30000977            ,PER,04/08/2017,
,30000978            ,PER,04/08/2017,
,30000979            ,PER,04/08/2017,
,30000980            ,PER,04/08/2017,
,30000981            ,PER,04/08/2017,
,30000982            ,PER,04/08/2017,
,30000983            ,PER,04/08/2017,
,30000984            ,PER,04/08/2017,
,30000985            ,PER,04/08/2017,
,30000986            ,PER,04/08/2017,
,30000987            ,PER,04/08/2017,
,30000988            ,PER,04/08/2017,
,30000989            ,PER,04/08/2017,
,30000990            ,PER,04/08/2017,
,30000991            ,PER,04/08/2017,
,30000992            ,PER,04/08/2017,
,30000993            ,PER,04/08/2017,
,30000994            ,PER,04/08/2017,
,30000995            ,PER,04/08/2017,
,30000996            ,PER,04/08/2017,
,30000997            ,PER,04/08/2017,
,30000998            ,PER,04/08/2017,
,30000999            ,PER,04/08/2017,
,30001000            ,PER,04/08/2017,
,30001001            ,PER,04/08/2017,
,30001002            ,PER,04/08/2017,
,30001003            ,PER,04/08/2017,
,30001004            ,PER,04/08/2017,
,30001005            ,PER,04/08/2017,
,30001006            ,PER,04/08/2017,
,30001007            ,PER,04/08/2017,
,30001008            ,PER,04/08/2017,
,30001009            ,PER,04/08/2017,
,30001010            ,PER,04/08/2017,
,30001011            ,PER,04/08/2017,
,30001012            ,PER,04/08/2017,
,30001013            ,PER,04/08/2017,
,30001014            ,PER,04/08/2017,
,30001015            ,PER,04/08/2017,
,30001016            ,PER,04/08/2017,
,30001017            ,PER,04/08/2017,
,30001018            ,PER,04/08/2017,
,30001019            ,PER,04/08/2017,
,30001020            ,PER,04/08/2017,
,30001021            ,PER,04/08/2017,
,30001022            ,PER,04/08/2017,
,30001023            ,PER,04/08/2017,
,30001024            ,PER,04/08/2017,
,30001025            ,PER,04/08/2017,
,30001026            ,PER,04/08/2017,
,30001027            ,PER,04/08/2017,
,30001028            ,PER,04/08/2017,
,30001029            ,PER,04/08/2017,
,30001030            ,PER,04/08/2017,
,30001031            ,PER,04/08/2017,
,30001032            ,PER,04/08/2017,
,30001033            ,PER,04/08/2017,
,30001034            ,PER,04/08/2017,
,30001035            ,PER,04/08/2017,
,30001036            ,PER,04/08/2017,
,30001037            ,PER,04/08/2017,
,30001038            ,PER,04/08/2017,
,30001039            ,PER,04/08/2017,
,30001040            ,PER,04/08/2017,
,30001041            ,PER,04/08/2017,
,30001043            ,PER,04/08/2017,
,30001044            ,PER,04/08/2017,
,30001045            ,PER,04/08/2017,
,30001046            ,PER,04/08/2017,
,30001047            ,PER,04/08/2017,
,30001048            ,PER,04/08/2017,
,30001049            ,PER,04/08/2017,
,30001050            ,PER,04/08/2017,
,30001051            ,PER,04/08/2017,
,30001052            ,PER,04/08/2017,
,30001053            ,PER,04/08/2017,
,30001054            ,PER,04/08/2017,
,30001055            ,PER,04/08/2017,
,30001056            ,PER,04/08/2017,
,30001057            ,PER,04/08/2017,
,30001058            ,PER,04/08/2017,
,30001059            ,PER,04/08/2017,
,30001060            ,PER,04/08/2017,
,30001061            ,PER,04/08/2017,
,30001062            ,PER,04/08/2017,
,30001063            ,PER,04/08/2017,
,30001064            ,PER,04/08/2017,
,30001065            ,PER,04/08/2017,
,30001066            ,PER,04/08/2017,
,30001067            ,PER,04/08/2017,
,30001068            ,PER,04/08/2017,
,30001069            ,PER,04/08/2017,
,30001070            ,PER,04/08/2017,
,30001071            ,PER,04/08/2017,
,30001072            ,PER,04/08/2017,
,30001073            ,PER,04/08/2017,
,30001074            ,PER,04/08/2017,
,30001075            ,PER,04/08/2017,
,30001077            ,PER,04/08/2017,
,30001078            ,PER,04/08/2017,
,30001079            ,PER,04/08/2017,
,30001080            ,PER,04/08/2017,
,30001081            ,PER,04/08/2017,
,30001082            ,PER,04/08/2017,
,30001083            ,PER,04/08/2017,
,30001084            ,PER,04/08/2017,
,30001085            ,PER,04/08/2017,
,30001086            ,PER,04/08/2017,
,30001087            ,PER,04/08/2017,
,30001088            ,PER,04/08/2017,
,30001090            ,PER,04/08/2017,
,30001091            ,PER,04/08/2017,
,30001092            ,PER,04/08/2017,
,30001093            ,PER,04/08/2017,
,30001094            ,PER,04/08/2017,
,30001095            ,PER,04/08/2017,
,30001096            ,PER,04/08/2017,
,30001097            ,PER,04/08/2017,
,30001098            ,PER,04/08/2017,
,30001099            ,PER,04/08/2017,
,30001100            ,PER,04/08/2017,
,30001101            ,PER,04/08/2017,
,30001102            ,PER,04/08/2017,
,30001103            ,PER,04/08/2017,
,30001104            ,PER,04/08/2017,
,30001105            ,PER,04/08/2017,
,30001106            ,PER,04/08/2017,
,30001107            ,PER,04/08/2017,
,30001108            ,PER,04/08/2017,
,30001109            ,PER,04/08/2017,
,30001110            ,PER,04/08/2017,
,30001111            ,PER,04/08/2017,
,30001112            ,PER,04/08/2017,
,30001113            ,PER,04/08/2017,
,30001114            ,PER,04/08/2017,
,30001115            ,PER,04/08/2017,
,30001116            ,PER,04/08/2017,
,30001117            ,PER,04/08/2017,
,30001118            ,PER,04/08/2017,
,30001119            ,PER,04/08/2017,
,30001120            ,PER,04/08/2017,
,30001121            ,PER,04/08/2017,
,30001122            ,PER,04/08/2017,
,30001123            ,PER,04/08/2017,
,30001124            ,PER,04/08/2017,
,30001125            ,PER,04/08/2017,
,30001126            ,PER,04/08/2017,
,30001127            ,PER,04/08/2017,
,30001128            ,PER,04/08/2017,
,30001129            ,PER,04/08/2017,
,30001130            ,PER,04/08/2017,
,30001131            ,PER,04/08/2017,
,30001132            ,PER,04/08/2017,
,30001133            ,PER,04/08/2017,
,30001134            ,PER,04/08/2017,
,30001135            ,PER,04/08/2017,
,30001136            ,PER,04/08/2017,
,30001137            ,PER,04/08/2017,
,30001139            ,PER,04/08/2017,
,30001140            ,PER,04/08/2017,
,30001141            ,PER,04/08/2017,
,30001142            ,PER,04/08/2017,
,30001143            ,PER,04/08/2017,
,30001144            ,PER,04/08/2017,
,30001145            ,PER,04/08/2017,
,30001146            ,PER,04/08/2017,
,30001148            ,PER,04/08/2017,
,30001149            ,PER,04/08/2017,
,30001150            ,PER,04/08/2017,
,30001151            ,PER,04/08/2017,
,30001152            ,PER,04/08/2017,
,30001153            ,PER,04/08/2017,
,30001154            ,PER,04/08/2017,
,30001155            ,PER,04/08/2017,
,30001156            ,PER,04/08/2017,
,30001157            ,PER,04/08/2017,
,30001158            ,PER,04/08/2017,
,30001159            ,PER,04/08/2017,
,30001160            ,PER,04/08/2017,
,30001161            ,PER,04/08/2017,
,30001162            ,PER,04/08/2017,
,30001163            ,PER,04/08/2017,
,30001164            ,PER,04/08/2017,
,30001165            ,PER,04/08/2017,
,30001166            ,PER,04/08/2017,
,30001167            ,PER,04/08/2017,
,30001168            ,PER,04/08/2017,
,30001169            ,PER,04/08/2017,
,30001170            ,PER,04/08/2017,
,30001171            ,PER,04/08/2017,
,30001172            ,PER,04/08/2017,
,30001173            ,PER,04/08/2017,
,30001174            ,PER,04/08/2017,
,30001175            ,PER,04/08/2017,
,30001176            ,PER,04/08/2017,
,30001177            ,PER,04/08/2017,
,30001178            ,PER,04/08/2017,
,30001179            ,PER,04/08/2017,
,30001180            ,PER,04/08/2017,
,30001181            ,PER,04/08/2017,
,30001182            ,PER,04/08/2017,
,30001183            ,PER,04/08/2017,
,30001184            ,PER,04/08/2017,
,30001185            ,PER,04/08/2017,
,30001187            ,PER,04/08/2017,
,30001188            ,PER,04/08/2017,
,30001189            ,PER,04/08/2017,
,30001190            ,PER,04/08/2017,
,30001191            ,PER,04/08/2017,
,30001192            ,PER,04/08/2017,
,30001193            ,PER,04/08/2017,
,30001194            ,PER,04/08/2017,
,30001195            ,PER,04/08/2017,
,30001196            ,PER,04/08/2017,
,30001197            ,PER,04/08/2017,
,30001198            ,PER,04/08/2017,
,30001199            ,PER,04/08/2017,
,30001200            ,PER,04/08/2017,
,30001201            ,PER,04/08/2017,
,30001202            ,PER,04/08/2017,
,30001203            ,PER,04/08/2017,
,30001204            ,PER,04/08/2017,
,30001205            ,PER,04/08/2017,
,30001206            ,PER,04/08/2017,
,30001207            ,PER,04/08/2017,
,30001208            ,PER,04/08/2017,
,30001209            ,PER,04/08/2017,
,30001210            ,PER,04/08/2017,
,30001211            ,PER,04/08/2017,
,30001212            ,PER,04/08/2017,
,30001213            ,PER,04/08/2017,
,30001214            ,PER,04/08/2017,
,30001215            ,PER,04/08/2017,
,30001216            ,PER,04/08/2017,
,30001217            ,PER,04/08/2017,
,30001218            ,PER,04/08/2017,
,30001219            ,PER,04/08/2017,
,30001220            ,PER,04/08/2017,
,30001221            ,PER,04/08/2017,
,30001222            ,PER,04/08/2017,
,30001223            ,PER,04/08/2017,
,30001224            ,PER,04/08/2017,
,30001225            ,PER,04/08/2017,
,30001226            ,PER,04/08/2017,
,30001227            ,PER,04/08/2017,
,30001228            ,PER,04/08/2017,
,30001229            ,PER,04/08/2017,
,30001230            ,PER,04/08/2017,
,30001231            ,PER,04/08/2017,
,30001232            ,PER,04/08/2017,
,30001233            ,PER,04/08/2017,
,30001234            ,PER,04/08/2017,
,30001235            ,PER,04/08/2017,
,30001236            ,PER,04/08/2017,
,30001237            ,PER,04/08/2017,
,30001238            ,PER,04/08/2017,
,30001239            ,PER,04/08/2017,
,30001240            ,PER,04/08/2017,
,30001241            ,PER,04/08/2017,
,30001242            ,PER,04/08/2017,
,30001243            ,PER,04/08/2017,
,30001244            ,PER,04/08/2017,
,30001245            ,PER,04/08/2017,
,30001246            ,PER,04/08/2017,
,30001247            ,PER,04/08/2017,
,30001248            ,PER,04/08/2017,
,30001250            ,PER,04/08/2017,
,30001251            ,PER,04/08/2017,
,30001252            ,PER,04/08/2017,
,30001254            ,PER,04/08/2017,
,30001255            ,PER,04/08/2017,
,30001256            ,PER,04/08/2017,
,30001257            ,PER,04/08/2017,
,30001258            ,PER,04/08/2017,
,30001259            ,PER,04/08/2017,
,30001260            ,PER,04/08/2017,
,30001261            ,PER,04/08/2017,
,30001262            ,PER,04/08/2017,
,30001263            ,PER,04/08/2017,
,30001264            ,PER,04/08/2017,
,30001265            ,PER,04/08/2017,
,30001266            ,PER,04/08/2017,
,30001267            ,PER,04/08/2017,
,30001268            ,PER,04/08/2017,
,30001269            ,PER,04/08/2017,
,30001270            ,PER,04/08/2017,
,30001271            ,PER,04/08/2017,
,30001272            ,PER,04/08/2017,
,30001273            ,PER,04/08/2017,
,30001274            ,PER,04/08/2017,
,30001275            ,PER,04/08/2017,
,30001276            ,PER,04/08/2017,
,30001277            ,PER,04/08/2017,
,30001278            ,PER,04/08/2017,
,30001279            ,PER,04/08/2017,
,30001280            ,PER,04/08/2017,
,30001281            ,PER,04/08/2017,
,30001282            ,PER,04/08/2017,
,30001283            ,PER,04/08/2017,
,30001284            ,PER,04/08/2017,
,30001285            ,PER,04/08/2017,
,30001286            ,PER,04/08/2017,
,30001287            ,PER,04/08/2017,
,30001288            ,PER,04/08/2017,
,30001289            ,PER,04/08/2017,
,30001290            ,PER,04/08/2017,
,30001291            ,PER,04/08/2017,
,30001292            ,PER,04/08/2017,
,30001293            ,PER,04/08/2017,
,30001294            ,PER,04/08/2017,
,30001295            ,PER,04/08/2017,
,30001296            ,PER,04/08/2017,
,30001297            ,PER,04/08/2017,
,30001298            ,PER,04/08/2017,
,30001299            ,PER,04/08/2017,
,30001300            ,PER,04/08/2017,
,30001301            ,PER,04/08/2017,
,30001302            ,PER,04/08/2017,
,30001303            ,PER,04/08/2017,
,30001304            ,PER,04/08/2017,
,30001305            ,PER,04/08/2017,
,30001306            ,PER,04/08/2017,
,30001307            ,PER,04/08/2017,
,30001308            ,PER,04/08/2017,
,30001309            ,PER,04/08/2017,
,30001310            ,PER,04/08/2017,
,30001311            ,PER,04/08/2017,
,30001312            ,PER,04/08/2017,
,30001313            ,PER,04/08/2017,
,30001315            ,PER,04/08/2017,
,30001316            ,PER,04/08/2017,
,30001317            ,PER,04/08/2017,
,30001318            ,PER,04/08/2017,
,30001319            ,PER,04/08/2017,
,30001320            ,PER,04/08/2017,
,30001321            ,PER,04/08/2017,
,30001322            ,PER,04/08/2017,
,30001323            ,PER,04/08/2017,
,30001324            ,PER,04/08/2017,
,30001325            ,PER,04/08/2017,
,30001326            ,PER,04/08/2017,
,30001327            ,PER,04/08/2017,
,30001328            ,PER,04/08/2017,
,30001329            ,PER,04/08/2017,
,30001330            ,PER,04/08/2017,
,30001331            ,PER,04/08/2017,
,30001332            ,PER,04/08/2017,
,30001333            ,PER,04/08/2017,
,30001334            ,PER,04/08/2017,
,30001335            ,PER,04/08/2017,
,30001336            ,PER,04/08/2017,
,30001337            ,PER,04/08/2017,
,30001338            ,PER,04/08/2017,
,30001339            ,PER,04/08/2017,
,30001340            ,PER,04/08/2017,
,30001341            ,PER,04/08/2017,
,30001342            ,PER,04/08/2017,
,30001343            ,PER,04/08/2017,
,30001344            ,PER,04/08/2017,
,30001345            ,PER,04/08/2017,
,30001346            ,PER,04/08/2017,
,30001347            ,PER,04/08/2017,
,30001348            ,PER,04/08/2017,
,30001349            ,PER,04/08/2017,
,30001350            ,PER,04/08/2017,
,30001352            ,PER,04/08/2017,
,30001353            ,PER,04/08/2017,
,30001354            ,PER,04/08/2017,
,30001355            ,PER,04/08/2017,
,30001356            ,PER,04/08/2017,
,30001357            ,PER,04/08/2017,
,30001358            ,PER,04/08/2017,
,30001359            ,PER,04/08/2017,
,30001360            ,PER,04/08/2017,
,30001361            ,PER,04/08/2017,
,30001362            ,PER,04/08/2017,
,30001363            ,PER,04/08/2017,
,30001364            ,PER,04/08/2017,
,30001365            ,PER,04/08/2017,
,30001366            ,PER,04/08/2017,
,30001367            ,PER,04/08/2017,
,30001368            ,PER,04/08/2017,
,30001369            ,PER,04/08/2017,
,30001370            ,PER,04/08/2017,
,30001371            ,PER,04/08/2017,
,30001372            ,PER,04/08/2017,
,30001373            ,PER,04/08/2017,
,30001374            ,PER,04/08/2017,
,30001375            ,PER,04/08/2017,
,30001376            ,PER,04/08/2017,
,30001377            ,PER,04/08/2017,
,30001378            ,PER,04/08/2017,
,30001379            ,PER,04/08/2017,
,30001380            ,PER,04/08/2017,
,30001381            ,PER,04/08/2017,
,30001382            ,PER,04/08/2017,
,30001383            ,PER,04/08/2017,
,30001384            ,PER,04/08/2017,
,30001385            ,PER,04/08/2017,
,30001386            ,PER,04/08/2017,
,30001387            ,PER,04/08/2017,
,30001388            ,PER,04/08/2017,
,30001389            ,PER,04/08/2017,
,30001390            ,PER,04/08/2017,
,30001391            ,PER,04/08/2017,
,30001392            ,PER,04/08/2017,
,30001393            ,PER,04/08/2017,
,30001394            ,PER,04/08/2017,
,30001395            ,PER,04/08/2017,
,30001396            ,PER,04/08/2017,
,30001397            ,PER,04/08/2017,
,30001398            ,PER,04/08/2017,
,30001399            ,PER,04/08/2017,
,30001400            ,PER,04/08/2017,
,30001401            ,PER,04/08/2017,
,30001402            ,PER,04/08/2017,
,30001403            ,PER,04/08/2017,
,30001404            ,PER,04/08/2017,
,30001405            ,PER,04/08/2017,
,30001406            ,PER,04/08/2017,
,30001407            ,PER,04/08/2017,
,30001408            ,PER,04/08/2017,
,30001409            ,PER,04/08/2017,
,30001410            ,PER,04/08/2017,
,30001411            ,PER,04/08/2017,
,30001412            ,PER,04/08/2017,
,30001413            ,PER,04/08/2017,
,30001414            ,PER,04/08/2017,
,30001415            ,PER,04/08/2017,
,30001416            ,PER,04/08/2017,
,30001417            ,PER,04/08/2017,
,30001418            ,PER,04/08/2017,
,30001419            ,PER,04/08/2017,
,30001420            ,PER,04/08/2017,
,30001421            ,PER,04/08/2017,
,30001422            ,PER,04/08/2017,
,30001423            ,PER,04/08/2017,
,30001424            ,PER,04/08/2017,
,30001425            ,PER,04/08/2017,
,30001426            ,PER,04/08/2017,
,30001427            ,PER,04/08/2017,
,30001428            ,PER,04/08/2017,
,30001429            ,PER,04/08/2017,
,30001431            ,PER,04/08/2017,
,30001432            ,PER,04/08/2017,
,30001433            ,PER,04/08/2017,
,30001434            ,PER,04/08/2017,
,30001435            ,PER,04/08/2017,
,30001436            ,PER,04/08/2017,
,30001437            ,PER,04/08/2017,
,30001438            ,PER,04/08/2017,
,30001439            ,PER,04/08/2017,
,30001440            ,PER,04/08/2017,
,30001441            ,PER,04/08/2017,
,30001442            ,PER,04/08/2017,
,30001443            ,PER,04/08/2017,
,30001444            ,PER,04/08/2017,
,30001445            ,PER,04/08/2017,
,30001446            ,PER,04/08/2017,
,30001447            ,PER,04/08/2017,
,30001448            ,PER,04/08/2017,
,30001449            ,PER,04/08/2017,
,30001450            ,PER,04/08/2017,
,30001451            ,PER,04/08/2017,
,30001452            ,PER,04/08/2017,
,30001453            ,PER,04/08/2017,
,30001454            ,PER,04/08/2017,
,30001455            ,PER,04/08/2017,
,30001457            ,PER,04/08/2017,
,30001458            ,PER,04/08/2017,
,30001459            ,PER,04/08/2017,
,30001460            ,PER,04/08/2017,
,30001461            ,PER,04/08/2017,
,30001462            ,PER,04/08/2017,
,30001463            ,PER,04/08/2017,
,30001464            ,PER,04/08/2017,
,30001465            ,PER,04/08/2017,
,30001466            ,PER,04/08/2017,
,30001467            ,PER,04/08/2017,
,30001468            ,PER,04/08/2017,
,30001469            ,PER,04/08/2017,
,30001470            ,PER,04/08/2017,
,30001471            ,PER,04/08/2017,
,30001472            ,PER,04/08/2017,
,30001473            ,PER,04/08/2017,
,30001474            ,PER,04/08/2017,
,30001475            ,PER,04/08/2017,
,30001476            ,PER,04/08/2017,
,30001477            ,PER,04/08/2017,
,30001478            ,PER,04/08/2017,
,30001479            ,PER,04/08/2017,
,30001480            ,PER,04/08/2017,
,30001481            ,PER,04/08/2017,
,30001482            ,PER,04/08/2017,
,30001483            ,PER,04/08/2017,
,30001484            ,PER,04/08/2017,
,30001485            ,PER,04/08/2017,
,30001486            ,PER,04/08/2017,
,30001487            ,PER,04/08/2017,
,30001488            ,PER,04/08/2017,
,30001489            ,PER,04/08/2017,
,30001490            ,PER,04/08/2017,
,30001491            ,PER,04/08/2017,
,30001492            ,PER,04/08/2017,
,30001493            ,PER,04/08/2017,
,30001494            ,PER,04/08/2017,
,30001495            ,PER,04/08/2017,
,30001496            ,PER,04/08/2017,
,30001497            ,PER,04/08/2017,
,30001498            ,PER,04/08/2017,
,30001499            ,PER,04/08/2017,
,30001500            ,PER,04/08/2017,
,30001501            ,PER,04/08/2017,
,30001503            ,PER,04/08/2017,
,30001504            ,PER,04/08/2017,
,30001505            ,PER,04/08/2017,
,30001506            ,PER,04/08/2017,
,30001507            ,PER,04/08/2017,
,30001508            ,PER,04/08/2017,
,30001509            ,PER,04/08/2017,
,30001510            ,PER,04/08/2017,
,30001513            ,PER,04/08/2017,
,30001514            ,PER,04/08/2017,
,30001515            ,PER,04/08/2017,
,30001516            ,PER,04/08/2017,
,30001517            ,PER,04/08/2017,
,30001518            ,PER,04/08/2017,
,30001519            ,PER,04/08/2017,
,30001520            ,PER,04/08/2017,
,30001521            ,PER,04/08/2017,
,30001522            ,PER,04/08/2017,
,30001523            ,PER,04/08/2017,
,30001524            ,PER,04/08/2017,
,30001525            ,PER,04/08/2017,
,30001526            ,PER,04/08/2017,
,30001527            ,PER,04/08/2017,
,30001528            ,PER,04/08/2017,
,30001529            ,PER,04/08/2017,
,30001530            ,PER,04/08/2017,
,30001531            ,PER,04/08/2017,
,30001532            ,PER,04/08/2017,
,30001533            ,PER,04/08/2017,
,30001534            ,PER,04/08/2017,
,30001535            ,PER,04/08/2017,
,30001536            ,PER,04/08/2017,
,30001537            ,PER,04/08/2017,
,30001538            ,PER,04/08/2017,
,30001539            ,PER,04/08/2017,
,30001540            ,PER,04/08/2017,
,30001541            ,PER,04/08/2017,
,30001542            ,PER,04/08/2017,
,30001543            ,PER,04/08/2017,
,30001544            ,PER,04/08/2017,
,30001545            ,PER,04/08/2017,
,30001546            ,PER,04/08/2017,
,30001547            ,PER,04/08/2017,
,30001548            ,PER,04/08/2017,
,30001549            ,PER,04/08/2017,
,30001550            ,PER,04/08/2017,
,30001551            ,PER,04/08/2017,
,30001552            ,PER,04/08/2017,
,30001553            ,PER,04/08/2017,
,30001554            ,PER,04/08/2017,
,30001555            ,PER,04/08/2017,
,30001556            ,PER,04/08/2017,
,30001557            ,PER,04/08/2017,
,30001558            ,PER,04/08/2017,
,30001559            ,PER,04/08/2017,
,30001560            ,PER,04/08/2017,
,30001561            ,PER,04/08/2017,
,30001562            ,PER,04/08/2017,
,30001563            ,PER,04/08/2017,
,30001564            ,PER,04/08/2017,
,30001566            ,PER,04/08/2017,
,30001567            ,PER,04/08/2017,
,30001568            ,PER,04/08/2017,
,30001569            ,PER,04/08/2017,
,30001570            ,PER,04/08/2017,
,30001571            ,PER,04/08/2017,
,30001572            ,PER,04/08/2017,
,30001573            ,PER,04/08/2017,
,30001574            ,PER,04/08/2017,
,30001575            ,PER,04/08/2017,
,30001576            ,PER,04/08/2017,
,30001577            ,PER,04/08/2017,
,30001578            ,PER,04/08/2017,
,30001579            ,PER,04/08/2017,
,30001580            ,PER,04/08/2017,
,30001581            ,PER,04/08/2017,
,30001582            ,PER,04/08/2017,
,30001583            ,PER,04/08/2017,
,30001584            ,PER,04/08/2017,
,30001585            ,PER,04/08/2017,
,30001586            ,PER,04/08/2017,
,30001587            ,PER,04/08/2017,
,30001588            ,PER,04/08/2017,
,30001589            ,PER,04/08/2017,
,30001590            ,PER,04/08/2017,
,30001591            ,PER,04/08/2017,
,30001592            ,PER,04/08/2017,
,30001593            ,PER,04/08/2017,
,30001594            ,PER,04/08/2017,
,30001595            ,PER,04/08/2017,
,30001596            ,PER,04/08/2017,
,30001597            ,PER,04/08/2017,
,30001598            ,PER,04/08/2017,
,30001599            ,PER,04/08/2017,
,30001600            ,PER,04/08/2017,
