USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000095            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000096            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000097            ,03/08/2017,,,9001,2000.0000,PEN,MON,,,,
30000098            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000099            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000100            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000101            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000102            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000103            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000104            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000105            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000106            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000107            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000109            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000110            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000111            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000113            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000114            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000115            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000117            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000118            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000119            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000120            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000121            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000122            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000123            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000124            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000125            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000126            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000127            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000128            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000129            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000130            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000131            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000132            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000133            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000134            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000135            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000136            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000137            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000138            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000139            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000140            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000141            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000142            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000143            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000144            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000145            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000146            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000147            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000148            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000149            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000150            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000151            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000152            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000153            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000154            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000155            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000156            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000157            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000158            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000159            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000161            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000162            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000163            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000164            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000165            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000166            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000167            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000169            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000170            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000171            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000172            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000173            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000174            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000175            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000176            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000177            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000178            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000179            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000180            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000181            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000182            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000183            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000184            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000185            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000186            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000187            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000188            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000189            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000190            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000191            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000192            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000193            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000194            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000195            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000196            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000197            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000198            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000199            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000200            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000201            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000202            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
